Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Coghill	John B.	Jr.	C	AK00	2022	5/7/2022	10047664
Hon.	Cohen	Steve		P	TN09	2022	2/15/2022	20020462
Hon.	Cohen	Steve		P	TN09	2022	8/2/2022	20021467
Hon.	Cohen	Steve		P	TN09	2022	8/5/2022	20021491
Hon.	Cohen	Steve		P	TN09	2022	8/8/2022	20021502
Hon.	Cohen	Steve		P	TN09	2022	8/10/2022	20021517
Hon.	Cohen	Steve		P	TN09	2022	8/15/2022	20021560
Hon.	Cohen	Steve		P	TN09	2022	8/23/2022	20021583
Hon.	Cohen	Steve		P	TN09	2022	8/29/2022	20021606
	Cohn	Alan		C	FL15	2022	8/22/2022	10050261
	Cohn	Alan		X	FL15	2022	7/29/2022	8219127
	Colarusso	Caroline		C	MA05	2022	7/11/2022	10049555
	Colarusso	Caroline		X	MA05	2022	6/17/2022	30017447
	Cole	Jahmal		C	IL01	2022	5/25/2022	10049219
	Cole	Jahmal		X	IL01	2022	6/6/2022	30017329
Hon.	Cole	Tom		P	OK04	2022	1/19/2022	8218534
Hon.	Cole	Tom		P	OK04	2022	4/26/2022	8218659
Hon.	Cole	Tom		P	OK04	2022	6/7/2022	8218938
	Coleman	Jeff		W		2022		8218666
	Coll	Gregory Thomas		C	MD08	2022	5/25/2022	10049501
	Collier	Scott		W	TX25	2022	7/7/2022	7867
	Collins	Jacqueline		C	IL01	2022	5/20/2022	8218779
	Collins	Jay		C	FL15	2022	5/25/2022	8218853
	Collins	Shawn		W		2022		8218675
	Collins	Shawn		W		2022		8218704
	Combs	Jack Lewis	Jr.	W	VA05	2022	4/28/2022	7848
	Compton	William Dakota		C	KY02	2022	5/1/2022	10047134
	Conforti	Niki		C	IL06	2022	5/13/2022	10047492
Hon.	Connolly	Gerald E.		P	VA11	2022	9/1/2022	20021626
	Conole	Francis		C	NY22	2022	5/16/2022	10047979
	Constant	Christopher		C	AK00	2022	5/10/2022	10044676
Dr.	Contogiannis	Mary Ann		C	NC06	2022	5/16/2022	10049140
Hon.	Conway	Connie		C	CA22	2022	7/29/2022	10049986
	Cooke	Rebecca		C	WI03	2022	5/12/2022	10048355
	Cooper	Kelly		C	AZ04	2022	7/14/2022	10048678
	Cooper	Kelly		X	AZ04	2022	6/7/2022	30017053
	Coplen	Rick		C	PA10	2022	4/17/2022	10046299
	Coram	Don		C	CO03	2022	5/29/2022	10048924
	Coram	Don		X	CO03	2022	6/22/2022	30017164
	Cortes	Jose Marcos		C	CA51	2022	5/8/2022	10047098
Hon.	Costa	James M.		P	CA16	2022	3/30/2022	8218624
Hon.	Courtney	Joe		P	CT02	2022	4/12/2022	20020780
Mr.	Cowen	Martin Lindsey	III	W		2022		8218586
Mr.	Cowen	Martin Lindsey	III	W	GA13	2022	2/11/2022	7828
	Cozzens	Jeff		W		2022		8218699
	Craft	Frank S.		D	FL13	2022	4/28/2022	40003337
	Crane	Eli		C	AZ02	2022	7/2/2022	10046281
	Crane	Eli		X	AZ02	2022	5/6/2022	30016389
Hon.	Crenshaw	Daniel		P	TX02	2022	1/10/2022	20020189
Hon.	Crenshaw	Daniel		P	TX02	2022	1/10/2022	20020197
Hon.	Crenshaw	Daniel		P	TX02	2022	2/2/2022	20020310
	Crispi	Michael		C	NJ04	2022	1/29/2022	10044486
	Croom	George		C	MD02	2022	7/11/2022	10049949
	Crumpacker	Jimmy		C	OR05	2022	5/14/2022	10048742
Mr.	Cruz	Jerico Matias		C	IL05	2022	4/30/2022	10046415
	Cruz	Robert 'Rob'		C	IL06	2022	6/16/2022	10049793
	Cullen	Jason		C	NJ04	2022	5/10/2022	10047994
	Culp	Loren		C	WA04	2022	5/30/2022	10049534
Hon.	Curtis	John		P	UT03	2022	2/2/2022	20020133
Hon.	Curtis	John		P	UT03	2022	3/23/2022	20020679
Hon.	Curtis	John		P	UT03	2022	7/8/2022	20021342
Hon.	Curtis	John		P	UT03	2022	8/15/2022	20021486
Hon.	Curtis	John		P	UT03	2022	8/15/2022	20021554
	Dallin	Jared		W	UT03	2022	7/7/2022	7861
Ms.	Daniels	Shamaine		C	PA10	2022	4/16/2022	10045051
	Dargis	Christopher Bryant		C	IL08	2022	5/16/2022	10047542
	Darling	Katie Darling		C	LA01	2022	8/16/2022	10050104
	Darnowsky	Alan		C	OH02	2022	3/10/2022	10044648
	D'Arrigo	Melanie		C	NY03	2022	5/16/2022	10049045
Mr.	Dashevsky	Yuri		C	NY08	2022	7/22/2022	10049738
Mr.	Dashevsky	Yuri		X	NY08	2022	7/12/2022	8219074
	Daughtry	Kelly		C	NC13	2022	6/1/2022	8218893
Hon.	Davids	Sharice		P	KS03	2022	6/30/2022	8219054
	Davis	Don		A	NC01	2022	8/31/2022	10050353
	Davis	Don		C	NC01	2022	8/2/2022	10050092
	Davis	Wendy		X	GA14	2022	6/7/2022	30017335
	Dawson	Marshall		C	CO02	2022	5/15/2022	10048824
	Daza-Fernandez	Antonio Miguel		C	GA11	2022	5/10/2022	10046398
	De Blasio	Bill		W	NY10	2022	7/21/2022	7887
	De Blasio	Bill		X	NY10	2022	6/27/2022	8219045
	De Gregorio	Nicholas		C	NJ05	2022	5/15/2022	10048710
Ms.	De Jesus- Coniglio	Pura  M.		C	NY14	2022	5/16/2022	10048173
	De Jesus-Coniglio	Pura		X	NY14	2022	6/3/2022	30017108
	De La Cruz Hernandez	Monica		C	TX15	2022	8/15/2022	10048188
	De La Cruz Hernandez	Monica		X	TX15	2022	6/7/2022	30016835
	De Luca	Rocco		C	CA31	2022	5/8/2022	10047686
Mrs.	Deck	Beth A.		D	OH19	2022	7/7/2022	40003373
	Deering	Regan		C	IL13	2022	5/29/2022	10048671
	Deering	Regan		X	IL13	2022	6/3/2022	30017050
	Degroot	Paul		C	NJ11	2022	5/15/2022	10047763
	Del Castello	Eve		D	CA12	2022	5/12/2022	8218762
Hon.	DelBene	Suzan K.		P	WA01	2022	1/9/2022	20020134
Hon.	DelBene	Suzan K.		P	WA01	2022	1/20/2022	20020243
Hon.	DelBene	Suzan K.		P	WA01	2022	2/9/2022	20020358
Hon.	DelBene	Suzan K.		P	WA01	2022	2/25/2022	20020478
Hon.	DelBene	Suzan K.		P	WA01	2022	3/9/2022	20020572
Hon.	DelBene	Suzan K.		P	WA01	2022	3/22/2022	20020642
Hon.	DelBene	Suzan K.		P	WA01	2022	4/7/2022	20020725
Hon.	DelBene	Suzan K.		P	WA01	2022	4/20/2022	20020815
Hon.	DelBene	Suzan K.		P	WA01	2022	5/8/2022	20020937
Hon.	DelBene	Suzan K.		P	WA01	2022	5/23/2022	20021082
Hon.	DelBene	Suzan K.		P	WA01	2022	6/11/2022	20021144
Hon.	DelBene	Suzan K.		P	WA01	2022	6/23/2022	20021227
Hon.	DelBene	Suzan K.		P	WA01	2022	7/8/2022	20021329
Hon.	DelBene	Suzan K.		P	WA01	2022	7/25/2022	20021406
